iter	Passed	Remaining
0	147	146888
1	147	73686
2	148	49266
3	148	37050
4	149	29722
5	149	24836
6	150	21361
7	151	18754
8	151	16724
9	152	15091
10	153	13756
11	153	12643
12	154	11700
13	154	10894
14	155	10203
15	155	9586
16	156	9041
17	156	8562
18	157	8130
19	158	7742
20	158	7388
21	158	7065
22	159	6772
23	160	6508
24	160	6262
25	161	6032
26	161	5820
27	161	5623
28	162	5441
29	163	5272
30	163	5113
31	164	4963
32	164	4821
33	164	4687
34	165	4561
35	165	4442
36	166	4330
37	166	4224
38	167	4122
39	167	4026
40	168	3935
41	168	3849
42	169	3767
43	169	3688
44	170	3612
45	170	3539
46	171	3470
47	171	3403
48	172	3340
49	172	3280
50	173	3221
51	173	3164
52	174	3113
53	174	3063
54	175	3012
55	175	2964
56	176	2917
57	176	2872
58	177	2828
59	177	2785
60	178	2744
61	178	2706
62	179	2667
63	179	2631
64	180	2596
65	181	2561
66	181	2528
67	182	2495
68	182	2462
69	182	2431
70	183	2400
71	183	2370
72	184	2340
73	184	2313
74	185	2287
75	185	2260
76	186	2235
77	187	2210
78	187	2185
79	187	2161
80	188	2139
81	189	2116
82	189	2092
83	189	2070
84	190	2049
85	190	2029
86	191	2009
87	191	1988
88	192	1969
89	192	1949
90	193	1930
91	193	1912
92	194	1894
93	194	1876
94	195	1859
95	195	1842
96	196	1825
97	196	1810
98	197	1794
99	197	1779
100	198	1764
101	198	1749
102	199	1735
103	199	1721
104	200	1707
105	200	1693
106	201	1679
107	201	1665
108	202	1652
109	202	1639
110	203	1628
111	203	1616
112	204	1605
113	205	1593
114	205	1582
115	206	1570
116	206	1558
117	206	1546
118	207	1535
119	207	1524
120	208	1513
121	208	1501
122	209	1491
123	209	1480
124	210	1470
125	210	1460
126	211	1450
127	211	1441
128	212	1431
129	212	1422
130	213	1413
131	213	1404
132	213	1394
133	214	1385
134	214	1377
135	215	1368
136	215	1359
137	216	1351
138	216	1343
139	217	1335
140	217	1328
141	218	1319
142	218	1312
143	219	1304
144	219	1297
145	220	1289
146	220	1282
147	221	1274
148	221	1267
149	222	1260
150	222	1253
151	223	1246
152	223	1239
153	224	1233
154	224	1226
155	225	1219
156	225	1212
157	226	1206
158	226	1199
